Job Title,Hourly Rate
Elctn-Con *,61.86
Elctn-Con Aprn,48.88
Elctn-Con-Wkg CC,69.6
"Elec Engrng Des Spec,Asst II",49.2
Elec-Con CC-Asg Crew Coord,69.6
Elec-Con Core CC,69.6
Elec-Con-Wkg CC-Asg C Coord,69.6
Elecl Constr&Maint Supv-BU,85.45
Elecl Engr Supv,82.205
"Elecl Engr,Assoc",64.5
"Elecl Engr,Asst I",45.89
"Elecl Engr,Asst II",53.49
"Elecl Engr,Asst III",57.77
"Elecl Engr,Sr",76.23
Elecl Engrng Spec Supv,67.46
"Elecl Engrng Spec,Assoc",53.04
"Elecl Engrng Spec,Asst I",40.0
"Elecl Engrng Spec,Asst III",52.17
"Elecl Engrng Spec,Sr",64.43
"Elecl Engrng Spec,Sr *",57.5
Elecl Hlpr *,37.09
"Elecl Insp,Sr/EleclPlnExmExp",64.68
"Elecl Inspector,(J)",59.85
"Elecl Inspector,Sr(Expert)",64.68
Elecl Maint Hlpr,36.76
Elecl Pwr Systs Engr,82.62
"Elecl Pwr Systs Engr,Prin",87.25
"Elecl PwrSystsEngr,Prin-Mrt",93.73
Elecl PwrSystsEngr-Mrt,84.37
Elecl Quality Assurance Spec,58.97
Elecl Svc Engr,68.57
Elecl Svc Rep,41.54
"Elecl Svc Rep,Sr",50.43
"Elecl Svc Rep,Supvsng",55.3
Elecl Work Rev CC,69.6
Electric Util Exec 2,105.235
"Electric Util Exec 3,Dir",115.7863
"Electric Util Exec 3,Ofcr",142.8251
Elevator Inspector(J),55.05
"Elevator Inspector,Chief",64.15
"Elevator Inspector,Sr(Expert)",59.51
Engrng Aide,38.095
Engrng Aide *,34.629999999999995
Engrng Emerg Laborer,42.04
"Enrgy Conserv Rep,Sr",43.485
Enrgy Mgmt Anlyst,60.45
Enrgy Mgmt Anlyst Supv,72.4
"Enrgy Mgmt Anlyst,Asst",51.69
"Enrgy Mgmt Anlyst,Sr",67.14
"Enrgy Mgmt Anlyst,Sr *",62.14
Enrgy Plng Supv-BU,72.4
Enrgy Res&Eval Anlyst,56.39
Enterprise Apps Analyst,58.3
"Envrnmtl Anlyst,Assoc",53.01
"Envrnmtl Anlyst,Assoc *",51.18
"Envrnmtl Anlyst,Sr",62.96
Envrnmtl Fld Spec,44.81
"Envrnmtl Fld Spec,Sr*",41.59
Envrnmtl Fld Supv,52.29
Equip Maint CC,55.849999999999994
Equip Svcr,34.67
Equip&Facilities Coord BU,50.47
"Equip&Facils Coord,Sr BU",54.44
Events Booking Rep *,39.22
Events Booking Rep BU,40.71
"Events Booking Rep,Sr",51.22
"Events Booking Rep,Sr BU",47.55
Events Svc Rep,41.595
Events Svc Rep *,39.22
"Events Svc Rep,Sr",51.22
Events Svcs Spec,36.225
"Evidence Control Spec, Chief",51.82
"Evidence Control Specialist,Sr",45.335
Exec Asst,60.83
Exec Asst *,53.25
Exec Asst BU,60.83
"Exec Asst, Sr - BU Leg",57.55
"Exec Asst,Sr",60.83
"Exec Asst,Sr BU",63.15
Exec Asst-Library,60.82
Exec Dir&Chief Librn,109.707
Exec Manager-City Auditor,95.6566
Exec Manager-Legislative,90.386
Executive1,84.94
Executive2,96.13365
Executive3,112.051
Executive4,136.261
Facilities Lead Wkr,38.75
Facilities Maint Wkr,38.75
Facilities Maint Wkr *,35.97
Facilities Support Coord,55.33
"Facility Maint Supv,Asst",61.95
Facility Techl Supv,53.01
Facility Techl Supv-BU,53.01
Facility Techl Supv/SC,58.3
Fair Hearing Coord,49.07
Fin Anlyst,53.01
Fin Anlyst Exempt,54.004999999999995
Fin Anlyst Supv,62.96
"Fin Anlyst,Asst",42.13
"Fin Anlyst,Sr",58.37
"Fin Anlyst,Sr *",50.12
"Fin Anlyst,Sr-BU",56.2
Fin Anlyst-HSD,49.22
Fire Battalion Chief-80 Hrs,84.195
Fire Battalion Chief-91.4 Hrs,75.75
"Fire Capt, Sr-90.46 Hrs",72.87
"Fire Capt, Sr-Decon-90.46 Hrs",75.65
"Fire Capt, Sr-SLT-90.46 Hrs",75.19
"Fire Capt, Sr-TRT Dive-90.46 H",75.66
Fire Capt-80 Hrs,78.24
Fire Capt-90.46 Hrs,69.375
Fire Capt-Admin-80 Hrs,81.52
Fire Capt-Dispatcher-80 Hrs,84.94
Fire Capt-FB-90.46 Hrs,72.1
Fire Capt-HM-80 Hrs,82.57
Fire Capt-HM-90.46 Hrs,71.41
Fire Capt-ParamedSr-84 Hrs,86.39
Fire Capt-ParamedSrEMS-80 hrs,91.24
Fire Capt-Prev Inspector I 80,76.86500000000001
Fire Capt-RB-90.46 Hrs,71.4
Fire Capt-Trng Div-80 Hrs,82.44
Fire Capt-VRT-90.46 Hrs,72.1
Fire Chief,148.359
"Fire Chief,Dep Adm-80 Hrs",104.07
"Fire Chief,Dep-91.4 Hrs",86.67
Fire Equip Tech,39.86
Fire Lieut Sr-ParaTechSr-90.46,73.28
"Fire Lieut, Sr-90.46 Hrs",64.69
"Fire Lieut, Sr-Dispatcher-84 H",73.41
"Fire Lieut, Sr-FB-90.46 Hrs",67.01
"Fire Lieut, Sr-HM 90.46 Hrs",67.48
"Fire Lieut, Sr-ParamedEMS-80hr",83.92
"Fire Lieut, Sr-PrevInspect 80",77.09
"Fire Lieut, Sr-RB-90.46 Hrs",67.01
"Fire Lieut, Sr-SLT-90.46 Hrs",67.01
"Fire Lieut, Sr-TRT Dive-90.46",66.55000000000001
"Fire Lieut, Sr-Trng Div-80 Hrs",77.09
"Fire Lieut, Sr-VRT-90.46 Hrs",67.01
"Fire Lieut,Sr-ParaTechSr-84",78.91
Fire Lieut-80 Hrs,67.345
Fire Lieut-90.46 Hrs,60.61
Fire Lieut-Admin-80 Hrs,72.46
Fire Lieut-Decon-90.46 Hrs,60.14
Fire Lieut-Dispatcher-84 Hrs,67.27
Fire Lieut-HM 90.46 Hrs,62.239999999999995
Fire Lieut-ParaTechSr-84,74.89
Fire Lieut-Paramed-90.46 Hrs,62.92
Fire Lieut-ParamedTechSr-90.46,71.28999999999999
Fire Lieut-ParamedTechSrAMR-80,83.5
Fire Lieut-ParamedTechSrEMS-80,83.5
Fire Lieut-Prev Inspector I 80,69.84
Fire Lieut-SLT-90.46 Hrs,64.32
Fire Lieut-TRT Dive-90.46 Hrs,64.56
Fire Lieut-Trng Div-80 Hrs,68.79
Fire Lieut-VRT-90.46 Hrs,60.61
Fire Prev Tech,56.39
Fire Prev Tech*,48.44
Fire Protection Engr,63.0
"Fire Protection Engr,Sr",73.13
"Fire Protection Engr,Supv",75.08
Fireboat Engr-90.46 Hrs,71.03
Fireboat Pilot-90.46 Hrs,71.64
Fireftr Admin-80 Hrs,64.455
Fireftr-80 Hrs,51.985
Fireftr-90.46 Hrs,47.14
Fireftr-Ap Drvr C-80 Hrs,64.32
Fireftr-Ap Drvr C-90.46,58.05
Fireftr-Decon-90.46 Hrs,52.71
Fireftr-DeconApDrvrC-90.46 Hrs,61.3
Fireftr-Dispatcher-84 Hrs,64.76
Fireftr-FB-90.46 Hrs,53.175
Fireftr-FIU Prev Insp I-84 Hrs,64.01
Fireftr-HM Ap Drvr C-80 Hrs,70.89
Fireftr-HM-80 Hrs,56.45
Fireftr-HM-90.46 Hrs,51.32
Fireftr-HM-Ap Drvr C-90.46 Hrs,57.36
Fireftr-Paramed Tech-90.46 Hrs,58.28
Fireftr-ParamedTechSr-90.46,64.32
Fireftr-Prev Insp I-80 Hrs,68.0
Fireftr-RB Ap DrvrC-90.46 Hrs,60.599999999999994
Fireftr-RB-90.46 Hrs,51.78
Fireftr-SLT Ap DrvrC-90.46 Hrs,57.585
Fireftr-SLT-90.46 Hrs,51.085
Fireftr-Staff10-84 Hrs,65.51
Fireftr-TRT Ap DrvrC-90.46 Hrs,59.21
Fireftr-TRT Dive-90.46 Hrs,53.18
Fireftr-TRT-90.46 Hrs,50.85
Fireftr-TRTDiveDriverC-90.46Hr,57.36
Fireftr-TRTDiveMaster-90.46Hr,55.04
Fireftr-TRTDiveMasterC-90.46Hr,57.825
Fireftr-Trng Dispatcher-80- Hr,71.71
Fireftr-Trng Div-80 Hrs,60.120000000000005
Fireftr-VRT Ap DrvrC-90.46 Hrs,56.655
Fireftr-VRT-80 Hrs,59.6
Fireftr-VRT-90.46 Hrs,49.69
Fleet Mgmt Anlyst BU,51.22
Forest Maint Wkr,40.94499999999999
Forest Maint Wkr *,38.74
"Forest Maint Wkr,Sr",44.54
Gardener,34.4
Gardener *,31.85
"Gardener,Asst",30.72
"Gardener,Sr",38.46
Generation Supv,85.45
Generation Supv-BU,85.45
Golf Course Groundskeeper II,32.93
Golf Course Maint Supv,53.79
Golf Course Tech,38.29
Grants&Contracts Spec,38.54
"Grants&Contracts Spec,Sr",46.71
"Grants&Contracts Spec,Sr *",44.83
Grants&Contracts Supv,51.22
Grants&Contracts Supv *,43.97
Graphic Arts Designer,42.32
Graphics&Design Mgr,51.28
Greenhouse Supv,40.02
Grounds Equip Mechanic,39.22
"Grounds Equip Mechanic,Sr",41.515
Grounds Maint CC,48.47
Grounds Maint Lead Wkr,38.75
HR Business Partner,56.7
HRIS Spec,47.56
HVAC Tech,62.01
HVAC Tech/SC-BU,62.54
Head of CIP,77.84
Head of Communications,74.92
Head of Div Opns,67.86
Head of Finance & Accounting,77.84
Head of Marketing&Online Svc,79.52
Hearing Examiner,94.8666
"Hearing Examiner,Dep",89.983
High School Intern *,19.97
Housing Ordinance Spec,40.71
Housing/Zoning Inspector,47.47
"Housing/Zoning Inspector,Sr",54.25
Housing/Zoning Tech,38.715
Human Resources Assoc,32.01
Human Resources Generalist,46.3
Human Resources Manager,72.91
Human Resources Spec,48.84
Human Svcs Coord,44.78
Human Svcs Coord *,40.755
"Human Svcs Coord,Asst",39.22
"Human Svcs Coord,Asst *",33.7
Human Svcs Prgm Supv,51.62
"Human Svcs Prgm Supv,Sr",57.92
Hydro Maint Wkr I-Gen,38.64
Hydro Maint Wkr II-Gen,41.02
"Hydro Op,Chief",61.42
Hydroelec Maint Mach,52.49
Hydroelec Maint Mach CC,60.89
Hydroelec Op I,49.45
Hydroelec Op II,54.6
IT Prgmmer Anlyst-Spec,51.77
Identification Data Spec,35.265
Identification Tech,44.81
"Indus Hygienist,Certified",63.15
Info Technol Prof A *,68.875
Info Technol Prof A BU,72.6
"Info Technol Prof A,Exempt",81.025
Info Technol Prof B,71.4985
"Info Technol Prof B,Exempt",68.59
Info Technol Prof B-BU,62.959
Info Technol Prof B-BU *,59.29
Info Technol Prof C-BU,53.7255
Info Technol Prof C-BU *,47.5
Info Technol Spec,43.965
"Info Technol Spec 1,Sr-Libr",47.49
"Info Technol Spec 2,Sr-Libr",60.37
Info Technol Systs Anlyst,54.3
Inspection Support Anlyst,54.25
Installation Maint Wkr,36.04
Investments/Debt Dir,95.143
"Investments/Debt Dir,Asst",100.677
Janitor Lead,36.54
"Janitor,Lead-FAS/CL",28.55
"Janitor,Lead-SC/Parks/SPU",30.26
Janitor-FAS/CL,26.36
Janitor-Library,29.78
Janitor-SC/Parks/SPU,27.94
Janitor-SC/Parks/SPU *,25.94
Janitorial CC-FAS,38.65
Janitorial CC-SC,38.65
Jrnywkr In Chg,65.17
Labor Relations Coord,69.22
Labor Relations Spec,59.63
Laborer,31.13
Laborer *,29.29
Land Use Plnr II,56.15
Land Use Plnr III,61.72
Land Use Plnr IV,65.34
"Landscape Architect,Sr",76.83
Landscape Supv,47.87
Latent Print Examiner,53.01
"Latent Print Examiner,Sr",56.98
Latent Print Supv,60.86
Lead Page,32.88
Legal Asst,36.37
Legislative Asst,52.682
Legislative Info Spec II *,35.69
Legislative Info Spec II BU-P,37.84
Legislative Info Supv BU-P,46.68
Library Applics&Systs Mgr,65.02
Library Assoc I,31.45
Library Assoc I*Intermittent,25.93
Library Assoc II,33.15
Library Assoc IV,42.805
Library Levy Administrator,75.23
Library Tech I,31.5
Library Tech II,33.66
Library Tech III,36.12
Library Technol Ofcr,84.49
Librn,50.55
Librn*Intermittent,41.69
"Librn,Floating",45.89
"Librn,Supvsng",51.95
Licenses&Standards Inspector,49.72
Licenses&Standards Supv,53.045
Lifeguard,25.98
Lifeguard *,24.99
"Lifeguard,Sr",30.29
Line C CC,69.6
Line CC-Asg C Coord,69.6
Lnwkr,61.86
Lnwkr Aprn,49.49
Lnwkr Pre-Aprn,40.22
Lnwkr-Asg Pwrline Clearance,66.38
Lnwrkr-Asg Locator,61.86
Lock Tech,39.22
Mach Spec,37.15
Maint Laborer,34.69
Maint Laborer *,34.69
"Maint Laborer,Sr-Traffic",37.14
Manager-Legislative,77.8165
"Manager1,CSPI&P",56.626999999999995
"Manager1,Exempt",59.954
"Manager1,Exempt-P",54.5
"Manager1,Fin,Bud,&Actg",67.81
"Manager1,Fin,Bud,&Actg BU-P",62.423
"Manager1,General Govt",64.738
"Manager1,General Govt BU-P",61.51
"Manager1,General Govt-P",52.558
"Manager1,Human Svcs",68.578
"Manager1,P&FM",63.257
"Manager1,P&FM-P",50.224
"Manager1,PC&RM",67.1135
"Manager1,Parks&Rec",61.501
"Manager1,Utils BU-P",60.0
"Manager1,Utils-BU",64.05
"Manager2,CL&PS - SPD BU",69.078
"Manager2,CL&PS-P",69.3827
"Manager2,CSPI&P",65.033
"Manager2,CSPI&P BU-P",65.52
"Manager2,Engrng&Plans Rev",73.096
"Manager2,Exempt",71.809
"Manager2,Exempt BU-P",69.475
"Manager2,Exempt-P",64.865
"Manager2,Fin,Bud,&Actg",73.632
"Manager2,Fin,Bud,&Actg - SPD B",71.969
"Manager2,Fin,Bud,&Actg BU-P",67.09
"Manager2,Fin,Bud,&Actg-BU",70.66325
"Manager2,General Govt",71.57845
"Manager2,General Govt - SPD BU",68.57849999999999
"Manager2,Human Svcs",71.87
"Manager2,Info Technol",72.07
"Manager2,Info Technol BU-P",66.045
"Manager2,Info Technol-BU",75.1687
"Manager2,P&FM",76.345
"Manager2,P&FM BU-P",67.09
"Manager2,PC&RM",73.516
"Manager2,PC&RM-BU",73.58359999999999
"Manager2,Parks&Rec",65.753
"Manager2,Utils",66.1861
"Manager2,Utils BU-P",67.40950000000001
"Manager2,Utils-BU",69.8428
"Manager3,CL&PS",86.16
"Manager3,CL&PS - SPD BU",73.827
"Manager3,CSPI&P",75.93995
"Manager3,CSPI&P-BU",82.45
"Manager3,Engrng&Plans Rev",85.719
"Manager3,Engrng&Plans Rev BU-P",78.528
"Manager3,Engrng&Plans Rev-BU",82.45
"Manager3,Exempt",81.089
"Manager3,Exempt BU-P",69.528
"Manager3,Exempt-BU",82.45
"Manager3,Fin,Bud,&Actg",82.196
"Manager3,Fin,Bud,&Actg BU-P",69.004
"Manager3,General Govt",80.1815
"Manager3,General Govt - SPD BU",79.002
"Manager3,General Govt BU-P",75.617
"Manager3,Human Svcs",75.1455
"Manager3,Info Technol",83.8015
"Manager3,Info Technol-BU",82.45325
"Manager3,P&FM",79.39750000000001
"Manager3,P&FM BU-P",67.891
"Manager3,P&FM-BU",82.45
"Manager3,PC&RM BU-P",77.341
"Manager3,PC&RM-BU",82.45
"Manager3,Parks&Rec",77.7245
"Manager3,Utils",67.2
"Manager3,Utils BU-P",73.38
"Manager3,Utils-BU",82.45
Marine Equip Svcr BU,48.43
Marketing Dev Coord,56.39
Marketing&Online Svcs Prjt Mgr,48.17
Mat Controller Supv,56.39
"Mat Controller,Prin",51.22
"Mat Controller,Prin-BU",44.405
"Mat Controller,Sr-BU",39.53
"Mat Handling Supv,General-BU",45.71
"Mat Suplr,Elec-Asg Equip Cust",52.23
"Mat Suplr,Elec-Asg Phd/Cw/D",46.43
Mat Suplr-Asg Leo/Pdm/Hb,49.34
"MatSup,Elec-Asg Cs &/or Cdt",42.44
"MatSup,Elec-Asg OPVTCHBNSTR",43.77
Mats Distrib Svcs Mgr,58.67
Mats Distrib Svcs Spec,38.57
Mayor,121.52
Mayoral Staff Asst 1,41.542
Mayoral Staff Asst 2,51.6225
Mech Engr Supv,76.35
"Mech Engr,Assoc",64.5
"Mech Engr,Sr",77.67
Mech Inspector(J)- BU,55.349999999999994
Mech Plans Engr,64.24
Mech Plans Engr Supv,81.8
"Mech Plans Engr,Sr",76.7
Metal Fabricator,51.58
Metal Fabricator CC,59.25
Meter Elctn,57.33
Meter Elctn Aprn,47.58
Meter Elctn CC Asg C Coord,64.49
Meter Elctn Working CC,64.49
Meter Elctn Working CC*,64.49
Meter Reader,34.14
Meter Reader *,30.11
Meter Reader Supv,46.72
"Meter Reader,Sr",41.58
Mgmt Systs Anlyst,47.56
Mgmt Systs Anlyst *,47.56
Mgmt Systs Anlyst BU,49.32
Mgmt Systs Anlyst BU Holding,45.815
Mgmt Systs Anlyst Supv,66.69
"Mgmt Systs Anlyst, Asst BU",44.83
"Mgmt Systs Anlyst,Asst",43.965
"Mgmt Systs Anlyst,Asst *",42.31
"Mgmt Systs Anlyst,Asst BU Hold",40.86
"Mgmt Systs Anlyst,Sr",60.83
"Mgmt Systs Anlyst,Sr *",56.39
"Mgmt Systs Anlyst,Sr BU",60.83
"Mgmt Systs Anlyst,Sr BU Hold",55.44
"Mgmt Systs Anlyst,Sr BU-P *",51.39
"Mgr,Cmputng Infr&Supp Svcs",75.23
Mnging Libr II,67.86
Muni Government Intern *,25.68
Muni Government Intern-W/S *,25.68
Naturalist,35.66
Network Engineer-Exempt,74.11
Noise Contrl Prgm Spec,56.39
Ofc Asst *,25.98
Operations Supervisor,54.94
"Opns CC,Sr-SC",50.13
Opns CC-SC,45.53
Opns Response Centr Trne,33.845
Opns Response Cntr Op,41.71
"Opns Response Cntr Op,Sr",45.06
PC Technician,33.7
Page,27.56
Paralegal,43.175
Paralegal - OCR,43.1
Paralegal BU,44.83
Park Ranger,33.48
Park Ranger Supervisor,47.03
"Park Ranger, Senior",36.82
Parking Attendant,26.5
Parking Attendant *,24.98
"Parking Attendant,Sr",32.864999999999995
Parking Enf Ofcr,36.83
Parking Enf Ofcr Supv,47.5
Parking Meter Collector,32.18
"Parking Meter Collector,Supvsg",38.16
Parking Pay Stat Tech,43.52
Parks Concss Coord,48.44
Parks Custdl CC,48.9
Parks Maint Aide,25.98
Parks Maint Aide I *,24.98
Parks Maint CC,53.97
"Parks Special Events Schdlr,Sr",40.3
Parks Special Events Schedlr,40.3
Parks Special Events Schedlr *,34.63
Passenger & Tugboat Op,42.52
Passenger & Tugboat Op *,40.92
"Passenger & Tugboat Op,Sr",46.9
Payroll Supv,53.19
"Permit Process Leader, Journey",65.35
Permit Spec I,45.71
Permit Spec II,49.32
Permit Spec Supv,54.13
Permit Tech,41.09
Permit Tech Supv,47.56
"Permit Tech,Sr",43.73
Personnel Anlyst,51.22
Personnel Anlyst *,45.71
Personnel Anlyst Supv,66.69
Personnel Anlyst Supv-Comp,64.25
"Personnel Anlyst,Sr",59.63
"Personnel Anlyst,Sr-Comp",56.41
Personnel Spec,45.71
Personnel Spec Trne,37.82
"Personnel Spec,Asst",34.96
"Personnel Spec,Sr",51.22
"Personnel Spec,Sr *",45.71
"Photographer,Sr",46.27
Photographic Svcs Supv,50.01
Plng&Dev Spec I,43.98
Plng&Dev Spec I *,45.71
Plng&Dev Spec II,51.22
Plng&Dev Spec II *,48.435
"Plng&Dev Spec,Sr-BU",60.83
"Plng&Dev Spec,Sr-BU*",52.2
"Plng&Dev Spec,Supvsng",64.335
"Plng&Dev Spec,Supvsng-BU-P",56.495
Plnt Ecologist,46.71
Plumber,52.18
Plumber Aprn,32.38
Plumber CC,58.16
"Plumber,Sr",54.03
Pmp Stat CC,63.36
Pmp Stat Elecl Tech,54.44
"Pmp Stat Elecl Tech,Sr",59.77
Pmp Stat Maint Lead Wkr CII,40.47
Pmp Stat Maint Leadwkr,38.16
Pmp Stat Maint Wkr,33.98
Pmp Stat Maint Wkr *,32.7
Pntr,46.16
Pntr *,46.16
Pntr Aprn-Intern,30.0
Pntr CC,52.97
"Pntr,Sr",48.26
Pol Capt,106.65
Pol Capt - Permanent Night,114.75
